"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Adam Fox","20-21","NYR","D",55,980.62,58.03,50.78,50.32,49.47,54.12,45.34,32.79,464.83,450.64,642.54,634.33,833.02,850.97,39.6,33.57,12.55,14.19,8.21,-17.95,6.03,9.75,92.72
"Adam Fox","21-22","NYR","D",78,1421.08,54.36,52.28,51.07,50.42,51.11,65.38,54.89,707.36,645.64,962.16,921.92,1255.41,1234.65,59.48,56.9,10.49,61.72,40.24,20.76,2.58,9.24,91.5
"Adam Gaudette","19-20","VAN","C",59,630.95,44.65,42.89,45.95,46.02,46.06,26.69,33.09,285.87,380.63,419.44,493.36,561.46,658.45,23.03,26.97,-6.4,-94.76,-73.92,-96.99,-3.94,9.34,91.31
"Adam Gaudette","20-21","CHI/VAN","C",40,399.47,30.21,46.6,46.27,45.95,40.3,9.99,23.08,202.89,232.53,269.72,313.2,366.07,430.64,14.12,20.92,-13.09,-29.64,-43.48,-64.57,-6.8,4.92,90.07
"Adam Gaudette","21-22","CHI/OTT","C",58,583.91,40.34,44.92,46.08,46.68,41.08,15.87,23.47,267.06,327.41,366.93,429.37,483.01,551.65,19.93,28.59,-7.6,-60.35,-62.44,-68.64,-8.66,5.94,92.83
"Adam Henrique","19-20","ANA","C",71,947.27,48.51,50.17,50.31,50.89,48.22,42.07,44.66,482.96,479.74,690.69,682.06,906.43,874.85,38.12,40.94,-2.59,3.22,8.63,31.58,-2.82,8.71,90.69
"Adam Henrique","20-21","ANA","C",45,581.68,48.21,45.36,46.18,48.5,44.47,27.15,29.17,265.45,319.77,369.51,430.71,520.32,552.46,21.36,26.67,-2.02,-54.32,-61.2,-32.14,-5.31,10.23,90.88
"Adam Henrique","21-22","ANA","C",58,847.38,49.81,49.47,49.13,49.63,52.33,45.73,46.07,433.04,442.31,601.73,622.98,796.74,808.5,41.82,38.1,-0.34,-9.27,-21.25,-11.76,3.72,10.56,89.58
"Adam Larsson","19-20","EDM","D",49,871.58,45.61,48.29,49.07,47.54,48.28,31.29,37.31,392.83,420.63,568.03,589.51,739.06,815.66,32.82,35.16,-6.02,-27.8,-21.48,-76.6,-2.34,7.97,91.13
"Adam Larsson","20-21","EDM","D",56,943.02,49.04,47.68,48.94,46.77,50.28,29.22,30.36,368.66,404.48,535.76,559.01,721.88,821.48,30.64,30.3,-1.14,-35.82,-23.25,-99.6,0.34,7.93,92.49
"Adam Larsson","21-22","SEA","D",82,1583,39.92,47.59,48.64,49.79,44.75,57.67,86.78,680.34,749.37,981.15,1036.16,1346.83,1358.41,52.72,65.09,-29.11,-69.03,-55.01,-11.58,-12.37,8.48,88.42
"Adam Lowry","19-20","WPG","L",49,603.53,43.56,46.26,44.84,45.58,40.13,14.82,19.2,263.33,305.96,356.4,438.49,475.23,567.35,17.34,25.87,-4.38,-42.63,-82.09,-92.12,-8.53,5.63,93.72
"Adam Lowry","20-21","WPG","L",52,623.15,54.52,46.98,47.3,47.96,46.52,26.26,21.91,268.03,302.47,386.12,430.13,520.59,564.94,20.71,23.81,4.35,-34.44,-44.01,-44.35,-3.1,9.8,92.76
"Adam Lowry","21-22","WPG","C/L",79,951.05,38.98,47.73,48.62,48.06,51.01,19.63,30.73,450.82,493.61,635.53,671.68,826.87,893.51,39.9,38.32,-11.1,-42.79,-36.15,-66.64,1.58,4.35,93.77
"Adam Pelech","19-20","NYI","D",38,678.28,47.97,45.74,45.7,44.95,49.99,24.75,26.84,291.51,345.85,400.17,475.39,550.92,674.82,25.48,25.49,-2.09,-54.34,-75.22,-123.9,-0.01,8.49,92.24
"Adam Pelech","20-21","NYI","D",56,1023.05,57.67,54.45,53.49,53.06,60.79,44.95,32.99,525.16,439.37,702.16,610.42,929.07,821.92,45.53,29.37,11.96,85.79,91.74,107.15,16.16,8.56,92.49
"Adam Pelech","21-22","NYI","D",78,1437.67,56.33,50.99,51.07,50.72,50.71,64.72,50.17,740.61,711.86,1001.45,959.35,1321.88,1284.33,61.7,59.98,14.55,28.75,42.1,37.55,1.72,8.74,92.95
"Adam Ruzicka","21-22","CGY","C",28,278.85,78.17,58.02,56.39,57.31,47.21,14.07,3.93,160.99,116.46,225.05,174.05,292.15,217.62,10.05,11.24,10.14,44.53,51,74.53,-1.19,8.74,96.63
