"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Brandon Tanev","20-21","PIT","L",32,461.93,7,5,4,16,43,55,62,5.56,16.28,12.73,10.11,33,11,26,139,81,1,4,2,1,2,3,8,-5
"Brandon Tanev","21-22","SEA","L",30,437.03,9,4,2,15,51,64,77,7.5,17.65,14.06,11.72,22,11,10,98,56,4,5,1,1,1,1,1,0
"Brayden McNabb","19-20","VGK","D",71,1421.03,2,4,3,9,73,119,176,3.96,2.74,1.68,3.33,133,32,32,201,96,20,16,0,0,-4,0,0,0
"Brayden McNabb","20-21","VGK","D",41,791.25,2,1,5,8,39,64,108,2.06,5.13,3.12,3.22,76,13,8,98,66,8,6,0,0,-2,0,0,0
"Brayden McNabb","21-22","VGK","D",69,1359.2,3,5,10,18,85,133,195,3.99,3.53,2.26,3,179,28,37,154,154,16,10,2,2,-6,0,0,0
"Brayden Point","19-20","T.B","C",66,1247.52,25,26,13,64,141,209,277,19.07,17.73,11.96,9.12,30,19,30,24,90,3,13,1,2,11,396,380,16
"Brayden Point","20-21","T.B","C",56,1032.42,23,12,13,48,131,178,213,17.18,17.56,12.92,9.65,18,11,27,23,53,3,21,1,1,18,257,263,-6
"Brayden Point","21-22","T.B","C",66,1284.17,28,15,15,58,175,253,291,26.11,16,11.07,10.32,27,24,33,75,81,9,13,3,3,4,360,343,17
"Brayden Schenn","19-20","STL","C",71,1308.7,25,21,12,58,138,173,224,16.64,18.12,14.45,9.62,21,39,26,119,72,17,10,2,2,-7,350,364,-14
"Brayden Schenn","20-21","STL","C",56,1072.03,16,15,5,36,113,153,180,15.57,14.16,10.46,10.18,35,19,24,119,69,10,5,3,3,-5,318,290,28
"Brayden Schenn","21-22","STL","C",62,1102.42,24,27,7,58,111,152,197,15.44,21.62,15.79,10.16,17,28,42,119,42,9,8,3,3,-1,286,293,-7
"Braydon Coburn","19-20","T.B","D",40,561.68,1,0,3,4,44,62,95,1.32,2.27,1.61,2.13,28,5,3,59,51,8,1,0,0,-7,0,0,0
