"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Andrew Copp","21-22","NYR/WPG","C",69,156.65,95.07,87.12,89.94,89.86,94.24,19.46,1.01,169.68,25.08,234.07,26.17,290.9,32.84,24.03,1.47,18.45,144.6,207.9,258.06,22.56,11.47,95.97
"Andrew Ladd","21-22","ARI","L",47,82.07,76.68,74.23,75.64,77.15,84.38,6.74,2.05,53.1,18.43,73.65,23.72,94.76,28.07,6.86,1.27,4.69,34.67,49.93,66.69,5.59,12.69,88.88
"Andrew Mangiapane","19-20","CGY","L",67,33.67,69.85,76.94,76.14,79.72,84.27,4.31,1.86,26.99,8.09,32.77,10.27,44.14,11.23,4.34,0.81,2.45,18.9,22.5,32.91,3.53,15.97,77.01
"Andrew Mangiapane","20-21","CGY","L",55,98.8,69.28,73.33,76.55,80.86,79.09,9.47,4.2,76.38,27.78,112.45,34.44,150.3,35.58,10.06,2.66,5.27,48.6,78.01,114.72,7.4,12.4,84.88
"Andrew Mangiapane","21-22","CGY","L",78,146.78,100,83.46,85.33,86.19,93.29,17.74,0,159.39,31.58,207.75,35.73,262.69,42.09,19.06,1.37,17.74,127.81,172.02,220.6,17.69,11.13,100
"Andrew Shaw","19-20","CHI","C",26,58.98,100,79.59,79.63,83.84,84.48,4.97,0,50.35,12.91,66.21,16.94,88.09,16.98,6.26,1.15,4.97,37.44,49.27,71.11,5.11,9.87,100
"Andrew Shaw","20-21","CHI","C",14,52.48,100,86.04,86.78,88.52,94.95,8.96,0,51.26,8.32,61.56,9.38,87.16,11.3,7.15,0.38,8.96,42.94,52.18,75.86,6.77,17.48,100
"Anthony Beauvillier","19-20","NYI","L",65,122.13,94.41,83.77,84.44,85.35,86.23,14.68,0.87,109.13,21.14,142.11,26.18,197.63,33.91,13.78,2.2,13.81,87.99,115.93,163.72,11.58,13.45,95.88
"Anthony Beauvillier","20-21","NYI","L",47,86.42,100,83.66,85.22,86.14,95.16,6.74,0,69.07,13.49,90.09,15.62,123.07,19.8,9.63,0.49,6.74,55.58,74.47,103.27,9.14,9.76,100
"Anthony Beauvillier","21-22","NYI","L",73,126.3,94.28,82.64,83.19,85.31,86.29,15.34,0.93,107.08,22.5,147.52,29.81,190.31,32.76,16.05,2.55,14.41,84.58,117.71,157.55,13.5,14.33,95.87
"Anthony Cirelli","19-20","T.B","C",67,64.82,100,77.43,77.98,80.09,84.78,8.94,0,62.97,18.35,84.75,23.93,112.2,27.9,7.63,1.37,8.94,44.62,60.82,84.3,6.26,14.2,100
"Anthony Cirelli","20-21","T.B","C",49,92.12,92.02,85.07,88.6,89.43,87.44,10.72,0.93,69.84,12.26,95.16,12.25,123.59,14.6,9.61,1.38,9.79,57.58,82.91,108.99,8.23,15.35,92.41
"Anthony Cirelli","21-22","T.B","C",76,107.58,100,91.15,91.35,91.54,90.84,12.17,0,102.23,9.92,144.56,13.68,180.45,16.68,15.08,1.52,12.17,92.31,130.88,163.77,13.56,11.9,100
"Anthony Duclair","19-20","OTT","L",65,168.37,82.02,79.46,82.96,84.93,86.48,15.05,3.3,136.48,35.27,207.46,42.62,264.51,46.94,20.54,3.21,11.75,101.21,164.84,217.57,17.33,11.03,90.64
"Anthony Duclair","20-21","FLA","L",43,56.85,100,72.5,75.37,79.18,84.85,4.17,0,42.18,16,54.9,17.94,72.43,19.04,5.04,0.9,4.17,26.18,36.96,53.39,4.14,9.89,100
"Anthony Duclair","21-22","FLA","L",74,187.8,92.43,85.49,86.88,86.72,90.39,37.6,3.08,186.5,31.65,248.43,37.51,316.91,48.51,25.77,2.74,34.52,154.85,210.92,268.4,23.03,20.16,90.27
"Anthony Mantha","19-20","DET","R",42,127.28,72.15,79.5,81.98,84.34,83.44,10.62,4.1,88.25,22.75,126.07,27.71,170.35,31.62,11.29,2.24,6.52,65.5,98.36,138.73,9.05,12.03,81.98
