"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Chandler Stephenson","19-20","VGK/WSH","C",64,43.58,100,85.52,87.53,88.17,92.21,6.8,0,39.03,6.61,65.07,9.27,88.39,11.85,6.03,0.51,6.8,32.42,55.8,76.54,5.52,17.43,100
"Chandler Stephenson","20-21","VGK","C",51,106.63,92.7,89.53,90.27,89.81,93.41,7.22,0.57,61,7.13,79.42,8.56,98.23,11.14,6.77,0.48,6.65,53.87,70.85,87.09,6.3,11.83,92.03
"Chandler Stephenson","21-22","VGK","C",77,174.88,84.02,82.54,86.27,86.99,92.3,7.05,1.34,50.97,10.78,71.87,11.44,91.41,13.67,7.9,0.66,5.71,40.19,60.43,77.74,7.24,13.84,87.56
"Charlie Coyle","19-20","BOS","C",70,131.43,85.59,75.99,79.74,82.75,82.08,6.13,1.03,54.07,17.08,74.1,18.82,99.66,20.77,6.44,1.41,5.09,36.99,55.28,78.89,5.04,11.33,93.96
"Charlie Coyle","20-21","BOS","C",50,66.1,100,77.57,79.13,79.97,86.38,6.27,0,40.47,11.7,61.37,16.18,75.1,18.81,4.89,0.77,6.27,28.77,45.19,56.3,4.12,15.5,100
"Charlie Coyle","21-22","BOS","C",81,155.45,81.35,79.64,80.27,83.33,85.68,6.96,1.59,61.79,15.8,82.03,20.16,106.58,21.32,7.76,1.3,5.36,45.99,61.87,85.26,6.46,11.26,89.91
"Charlie McAvoy","19-20","BOS","D",67,90.95,88.49,78.93,83.38,85.2,81.46,5.48,0.71,50.4,13.46,76.55,15.26,100.57,17.48,6.35,1.44,4.76,36.94,61.29,83.1,4.9,10.86,94.71
"Charlie McAvoy","20-21","BOS","D",50,98.77,84.41,74.72,78.95,80.65,78.81,7.17,1.32,41.16,13.92,61.64,16.44,81.06,19.45,5.38,1.45,5.84,27.24,45.2,61.62,3.93,17.41,90.49
"Charlie McAvoy","21-22","BOS","D",77,243.55,88.95,78.88,82.03,83.52,84.61,8.69,1.08,62.13,16.64,88.59,19.41,109.92,21.7,8.38,1.52,7.61,45.49,69.18,88.23,6.86,13.98,93.51
"Chris Kreider","19-20","NYR","C",62,207.62,90.5,85.12,87.68,89.3,92.01,8.59,0.9,61.59,10.77,87.08,12.24,112.27,13.45,8.29,0.72,7.69,50.82,74.84,98.83,7.57,13.95,91.63
"Chris Kreider","20-21","NYR","C",47,170.83,96.96,89.13,91.29,91.9,97.34,11.08,0.35,65.24,7.96,96.68,9.22,125.77,11.09,10.02,0.27,10.73,57.28,87.46,114.69,9.75,16.99,95.63
"Chris Kreider","21-22","NYR","C/L",80,238.68,98.19,88.05,88.14,88.52,93.12,12.65,0.23,66.95,9.08,96.65,13,118.52,15.37,9.97,0.74,12.42,57.87,83.65,103.15,9.23,18.9,97.43
"Chris Tanev","21-22","CGY","D",78,20.08,0,76.67,79.73,80.51,94.96,0,0,46.94,14.28,66.16,16.82,69.35,16.79,6.75,0.36,0,32.66,49.33,52.56,6.39,0,100
"Chris Tierney","19-20","OTT","C",70,65.77,80.33,78.98,81.79,84.62,88.54,4.4,1.08,43.72,11.63,64.85,14.44,90.2,16.39,5.07,0.66,3.32,32.08,50.41,73.8,4.42,10.06,90.75
"Chris Tierney","21-22","OTT","C",69,95.3,80.8,82.19,84.27,85.08,87.33,4.93,1.17,44.91,9.73,58.74,10.96,80.01,14.03,5.21,0.76,3.76,35.18,47.78,65.98,4.45,10.98,87.97
"Chris Wideman","21-22","MTL","D",63,157.33,78.65,81.3,81.97,83.48,82.34,7.22,1.96,47.57,10.95,67.27,14.8,90.57,17.93,6.26,1.34,5.26,36.63,52.47,72.65,4.92,15.18,82.09
