"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alex Galchenyuk","20-21","OTT/TOR","C",34,392.74,42.69,51.99,49.94,49.09,55.17,2.86,3.84,32.81,30.3,43.18,43.29,54.86,56.89,2.84,2.31,-0.98,2.52,-0.11,-2.03,0.53,8.72,87.33
"Alex Galchenyuk","21-22","ARI","C",60,731.47,41.03,38.89,38.91,39.57,37.2,2.43,3.49,25.3,39.76,34.68,54.45,45.31,69.2,2.1,3.55,-1.06,-14.46,-19.77,-23.89,-1.45,9.59,91.23
"Alex Goligoski","19-20","ARI","D",70,1287.8,52.09,51.33,49.13,48.87,47.15,2.48,2.28,31.77,30.12,42.03,43.52,56.11,58.71,2.28,2.56,0.2,1.65,-1.49,-2.61,-0.28,7.82,92.42
"Alex Goligoski","20-21","ARI","D",56,1036.55,51.84,48.44,48.79,48.59,49.64,2.78,2.58,27.08,28.82,38.77,40.68,52.19,55.22,2.3,2.33,0.2,-1.75,-1.92,-3.04,-0.03,10.26,91.05
"Alex Goligoski","21-22","MIN","D",72,1155.27,66.14,55.63,54.63,53.86,55.11,4.2,2.15,35,27.92,46.35,38.49,60.29,51.66,2.69,2.19,2.05,7.08,7.86,8.63,0.5,12.01,92.29
"Alex Holtz","21-22","N.J","R",9,89.87,21.9,33.68,36.52,36.45,31.05,1.31,4.67,21.01,41.38,29.52,51.31,41.85,72.97,1.85,4.11,-3.36,-20.37,-21.78,-31.12,-2.26,6.23,88.72
"Alex Iafallo","19-20","L.A","L",70,1007.13,54.48,51.35,50.54,50.82,48.3,2.62,2.19,29.36,27.82,41.53,40.64,54.74,52.98,2.23,2.39,0.43,1.54,0.89,1.76,-0.16,8.91,92.14
"Alex Iafallo","20-21","L.A","L",55,788.35,47.35,50.98,50.37,50.17,47.77,2.3,2.56,27.73,26.66,38.61,38.05,51.14,50.8,2.03,2.22,-0.26,1.07,0.56,0.34,-0.19,8.29,90.41
"Alex Iafallo","21-22","L.A","L",79,1085.52,51.22,57.58,57.67,56.27,53.49,2.27,2.16,35.38,26.07,48.78,35.8,63.18,49.09,2.72,2.37,0.11,9.31,12.98,14.08,0.36,6.42,91.7
"Alex Kerfoot","19-20","TOR","C",65,848.3,49.56,50.51,52.87,52.9,51.65,3.16,3.22,30.5,29.88,45.3,40.39,59.35,52.84,2.68,2.51,-0.06,0.62,4.91,6.51,0.17,10.37,89.22
"Alex Kerfoot","20-21","TOR","C",56,674.1,51.77,50.73,50.08,50.43,50.49,2.08,1.94,26.76,25.98,37.02,36.91,50.03,49.18,2.21,2.16,0.14,0.77,0.11,0.85,0.04,7.78,92.54
"Alex Kerfoot","21-22","TOR","C",82,1076.42,56.11,51.17,50.94,50.67,52.67,3.55,2.77,32.32,30.84,43.63,42.01,57.56,56.04,2.59,2.33,0.77,1.47,1.62,1.52,0.26,10.97,91.01
"Alex Killorn","19-20","T.B","C",68,843.08,68.36,50.23,51.08,52.73,52.9,3.07,1.42,28.97,28.7,40.87,39.14,55.54,49.78,2.25,2,1.65,0.27,1.72,5.76,0.25,10.59,95.05
"Alex Killorn","20-21","T.B","C",56,702.32,52.61,52.43,53.38,54.79,52.56,2.53,2.28,32.05,29.08,43.42,37.92,56.97,47.01,2.39,2.16,0.25,2.97,5.49,9.96,0.23,7.89,92.16
"Alex Killorn","21-22","T.B","C/L",82,1078.53,54.08,50.35,51.84,51.75,49.39,2.74,2.32,29.97,29.56,43.76,40.66,57.22,53.35,2.58,2.65,0.41,0.42,3.1,3.87,-0.06,9.13,92.14
"Alex Newhook","20-21","COL","C",6,74.7,86.94,62.6,63.35,60.65,67.7,5.03,0.76,31.73,18.96,50.58,29.26,65.1,42.24,3.52,1.68,4.27,12.78,21.32,22.86,1.84,15.84,96.02
"Alex Newhook","21-22","COL","C",71,853.52,61.27,50.69,49.06,51.41,49.93,2.41,1.53,30.47,29.64,39.77,41.3,58.01,54.82,2.27,2.27,0.89,0.83,-1.53,3.18,-0.01,7.92,94.85
"Alex Nylander","19-20","CHI","L",65,710.1,48.74,47.8,48.58,49.2,46.32,2.65,2.78,31.78,34.71,41.87,44.31,57.53,59.41,2.44,2.83,-0.14,-2.93,-2.44,-1.88,-0.39,8.32,91.98
"Alex Ovechkin","19-20","WSH","L",68,1015.13,47.75,49.47,49.96,51.15,49.01,3.09,3.38,32.08,32.78,44.65,44.73,61.15,58.39,2.65,2.76,-0.29,-0.69,-0.08,2.76,-0.11,9.63,89.68
"Alex Ovechkin","20-21","WSH","L",45,661.57,56.65,48.73,47.61,48.75,47.5,3.52,2.69,30.15,31.73,41.24,45.39,55.54,58.37,2.26,2.5,0.83,-1.58,-4.15,-2.84,-0.24,11.66,91.52
"Alex Ovechkin","21-22","WSH","L",77,1167.17,52.56,49.5,49.72,49.88,49.13,3.49,3.15,30.21,30.82,43.18,43.67,56.69,56.95,2.65,2.75,0.34,-0.61,-0.49,-0.26,-0.09,11.56,89.77
"Alex Pietrangelo","19-20","STL","D",70,1302.88,55.18,53.95,53.35,53.56,53.33,3.19,2.59,32.76,27.96,43.57,38.1,56.22,48.74,2.59,2.27,0.6,4.79,5.47,7.48,0.32,9.72,90.75
