"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alex Pietrangelo","20-21","VGK","D",41,777.93,59.03,53.53,52.84,53.04,51.25,3.46,2.4,33.79,29.34,46.39,41.4,64.38,57.01,2.83,2.69,1.06,4.45,4.99,7.37,0.14,10.24,91.82
"Alex Pietrangelo","21-22","VGK","D",80,1534.82,49.91,53.74,53.91,53.69,50.71,2.58,2.59,34.48,29.68,46.79,40.01,63.33,54.64,2.94,2.86,-0.01,4.81,6.78,8.7,0.08,7.48,91.27
"Alex Radulov","19-20","DAL","R",60,821.98,59.83,52.58,51.9,51.41,54.65,2.18,1.46,31.71,28.59,43.29,40.12,58.14,54.95,2.74,2.27,0.72,3.11,3.17,3.18,0.47,6.88,94.88
"Alex Radulov","20-21","DAL","R",11,151.43,89.16,65.11,63.59,60.41,62.15,3.23,0.39,30.56,16.37,46.34,26.53,61.59,40.37,2.91,1.77,2.83,14.18,19.81,21.23,1.14,10.55,97.6
"Alex Radulov","21-22","DAL","R",71,828.58,43.24,49.57,48.93,48.81,52.48,1.84,2.41,29.46,29.97,41.07,42.86,55.04,57.72,2.69,2.44,-0.57,-0.51,-1.79,-2.69,0.25,6.24,91.95
"Alex Romanov","20-21","MTL","D",54,835.3,48.94,52.76,52.58,53.93,53.01,2.37,2.48,29.25,26.18,41.27,37.22,58.96,50.37,2.43,2.15,-0.1,3.07,4.05,8.59,0.28,8.12,90.54
"Alex Romanov","21-22","MTL","D",79,1383.48,44.45,45.01,44.93,45.56,46.12,2.42,3.03,27.84,34.02,37.83,46.37,51.4,61.42,2.33,2.72,-0.6,-6.18,-8.54,-10.02,-0.39,8.7,91.11
"Alex Steen","19-20","STL","L",55,607.07,57.7,53.05,50.55,50.85,52.6,2.78,2.04,28.53,25.25,37.7,36.88,51.35,49.64,2.28,2.05,0.74,3.29,0.82,1.71,0.23,9.76,91.92
"Alex Texier","19-20","CBJ","C",36,431.65,56.52,52.69,51.55,50.32,53.03,2.48,1.91,32.6,29.27,42.32,39.78,54.97,54.27,2.19,1.94,0.57,3.33,2.54,0.69,0.25,7.61,93.48
"Alex Texier","20-21","CBJ","C",49,659.3,39.88,45.14,45.98,46.01,42.08,1.91,2.87,27.54,33.47,37.85,44.47,50.34,59.06,2,2.76,-0.97,-5.93,-6.62,-8.72,-0.75,6.92,91.41
